zipcode,longitude,latitude,is_for_sale,property_type,bedroom,bathroom,size,list_price,last_update
91901,-116.768126,32.812686,true,Single Family,5,7,5266,1.29e+06,1.482049548236985e+09
91901,-116.808411,32.815755,true,Single Family,5,4,3510,957000,1.482049560275124e+09
91901,-116.753483,32.838068,true,Single Family,5,3,3045,699900,1.482049556228342e+09
91901,-116.765498,32.80751,true,Single Family,5,5,5454,1.299e+06,1.482049564304776e+09
91901,-116.696842,32.751848,true,Single Family,3,2,1566,389000,1.482049568210604e+09
91901,-116.802677,32.838141,true,,2,2,1190,429000,1.482049572155066e+09
91901,,,false,,0,0,0,6.9e+06,1.482049599185988e+09
91901,-116.788313,32.827511,false,Single Family,4,3,2568,674000,1.482049587294028e+09
91901,-116.695192,32.839972,true,Single Family,1,1,679,340000,1.482049591228001e+09
91901,-116.775728,32.808186,true,Single Family,4,4,3132,899000,1.482049595220399e+09
91901,-116.748921,32.813021,false,,4,3.5,4200,,1.482049614940692e+09
91901,-116.76307,32.8355,true,Mobile / Manufactured,2,2,1368,65500,1.482049603074083e+09
91901,-116.76307,32.8355,true,Mobile / Manufactured,3,2,1424,122500,1.482049606998255e+09
91901,,,false,,0,0,0,79000,1.48204962318331e+09
91901,-116.74987,32.83433,true,Miscellaneous,0,0,0,500000,1.482049619092064e+09
91901,-116.766345,32.834406,true,Single Family,2,2,1005,260000,1.482049635007608e+09
91901,-116.750279,32.830565,true,Single Family,4,3,2427,650000,1.482049611021118e+09
91901,-116.75495,32.82639,false,,18.13,0,0,490000,1.482049631011801e+09
91901,-116.774215,32.829279,false,,3.39,0,0,565000,1.482049627096994e+09
91901,-116.73491,32.832929,true,Mobile / Manufactured,3,2,1152,79900,1.482049643455508e+09
91901,-116.766316,32.832757,false,Single Family,5,2.5,2224,,1.482049659225241e+09
91901,-116.781404,32.846539,false,Single Family,3,2,1706,,1.482049655328374e+09
91901,-116.767692,32.837054,false,Condo,2,1.5,1116,,1.481960539440073e+09
91901,-116.753022,32.834181,false,Single Family,3,2.5,1565,,1.481960543147952e+09
91901,-116.696149,32.839681,false,Single Family,2,1,960,,1.481960546868727e+09
91905,-116.280698,32.664537,true,Single Family,4,3,2142,449000,1.482049208936469e+09
91905,-116.329445,32.66489,false,Single Family,2,2,800,111100,1.482049212828543e+09
91905,-116.32001,32.662889,false,,40,0,0,139000,1.482049227338786e+09
91905,-116.324523,32.629196,true,Single Family,4,2,1800,750000,1.482049223322408e+09
91905,-116.333394,32.692282,false,Single Family,1,1,658,,1.482049235234024e+09
91905,-116.298957,32.666514,false,,2,1,829,,1.482049246944872e+09
91905,-116.320392,32.680508,false,,3,2,1152,,1.48204923915871e+09
91905,-116.31258,32.676119,false,,4,3,1924,,1.482049231350311e+09
91905,-116.299418,32.666505,false,,2,1,1215,,1.482049250922434e+09
91905,-116.314744,32.614044,false,Single Family,3,2,1050,,1.482049243034462e+09
91905,-116.282188,32.720188,false,,160,0,0,1.6e+06,1.482049306837829e+09
91905,-116.32001,32.662889,false,,8.11,0,0,75000,1.482049294946964e+09
91905,-116.32012,32.66286,false,,5,0,0,45000,1.482049258918658e+09
91905,-116.32012,32.66286,false,,15.68,0,0,40000,1.482049278874607e+09
91905,-116.297168,32.658749,true,,8,0,0,75000,1.482049274941546e+09
91905,-116.319925,32.639867,false,,4.21,0,0,104500,1.482049286825941e+09
91905,-116.304335,32.627571,true,Single Family,3,2,1600,279000,1.482049254969568e+09
91905,-116.340504,32.690227,true,Single Family,3,3,1996,575000,1.482049282833143e+09
91905,-116.340644,32.69126,true,Single Family,3,2,3100,950000,1.482049322538495e+09
91905,-116.32012,32.66286,false,,16.98,0,0,97209,1.482049290990609e+09
91905,-116.319923,32.639865,false,,4.21,0,0,104500,1.482049310802558e+09
91905,-116.32001,32.66288,false,,40.06,0,0,99000,1.482049298951731e+09
91905,-116.312449,32.67188,false,,3.05,0,0,40000,1.481960642856266e+09
